,x,y,z,result
502,-582.43518,-393.20837,54.255173,0.999673
503,-447.03397,822.90985,-61.118923,1.003097
504,-411.09375,812.64001,-49.37579,0.998148
505,-616.21869,-428.25925,51.809582,0.99982
506,-958.23541,-538.04315,31.55575,0.999527
507,-581.80566,-427.60764,51.903347,0.999794
508,-581.17365,-461.98523,49.254971,0.999883
509,-968.65839,12.722209,46.665581,0.999876
510,-682.50812,-804.82965,14.3588,1.002288
511,-954.36267,-811.9989,10.394009,1.000104
512,-614.95898,-497.00568,46.648727,0.999981
513,-683.14313,-532.65143,43.276939,0.999954
514,-580.55725,-496.35098,46.51009,0.999947
515,-516.15802,-254.23433,61.842422,0.999503
516,-549.93927,-289.32278,60.401787,0.999526
517,-549.69391,-800.83807,9.8527088,0.99991
518,-505.10773,-832.77594,-39.492302,1.001191
519,-566.17242,-844.23193,-12.044456,0.997349
520,-515.50433,-288.64688,59.992905,0.99945
521,-481.70514,-799.17175,5.073751,0.999979
522,-514.86853,-323.07574,58.068501,0.999491
523,-548.65082,-358.14871,56.363152,0.999503
524,-514.22955,-357.4913,55.931545,0.99958
525,-472.25507,-825.97723,-45.474747,0.999526
526,-447.3031,-252.89928,60.06316,0.99934
527,-566.82996,-846.73798,-45.152782,1.000681
528,-481.08401,-287.99008,59.341339,0.999376
529,-539.04938,-839.35022,-27.098906,1.000409
530,-625.50897,-856.85675,-8.2184658,0.998839
531,-689.33289,-868.17676,1.6571047,1.002543
532,-446.67154,-287.31888,58.087254,0.999351
533,-615.76068,-801.9884,12.676173,1.000029
534,-605.71118,-854.88818,-41.175148,1.003754
535,-639.56079,-862.0025,-38.206135,1.001739
536,-446.03641,-321.73257,56.071651,0.99944
537,-593.48206,-850.12903,-11.222519,0.997991
538,-671.54907,-868.64697,-34.324593,1.001484
539,-699.05511,-873.91302,-25.221697,1.003933
540,-479.82584,-356.80792,54.950489,0.999613
541,-658.46771,-863.53479,-3.1338518,0.99972
542,-841.88898,-905.2019,-36.78516,0.998486
543,-964.14532,-929.55109,-17.696108,0.998192
544,-445.42001,-356.13403,53.728149,0.999583
545,-817.80231,-809.04083,14.072851,0.999985
546,-513.60553,-391.8898,53.518711,0.999677
547,-547.39014,-426.95175,51.705048,0.999774
548,-512.99023,-426.27896,50.970818,0.999762
549,-512.36981,-460.64639,48.137886,0.999831
550,-776.73651,-891.71729,-41.929295,1.001574
551,-546.15515,-495.68048,45.99065,0.999947
552,-511.76974,-494.9761,44.981525,0.999933
553,-444.81506,-390.49796,51.020767,0.99969
554,-478.59286,-425.57828,49.767632,0.999762
555,-748.80133,-886.06696,-45.657505,0.994883
556,-444.2027,-424.86475,48.295609,0.999764
557,-443.61169,-459.20908,45.281353,0.999836
558,-477.38809,-494.26535,43.706936,0.999953
559,-809.26404,-898.43713,-38.971458,1.000881
560,-443.02863,-493.52942,42.009094,0.999906
561,-944.75574,529.68848,32.857758,0.999522
562,-944.06793,495.30176,34.979485,0.999542
563,-901.30713,-916.79224,-23.521402,0.996008
564,-943.37341,460.89218,36.783371,0.999657
565,-910.39539,530.38672,34.943546,0.999727
566,-876.01984,531.06525,36.855755,0.999815
567,-874.01318,-911.74982,-33.202267,0.995638
568,-939.93744,-926.95654,-49.611023,0.992748
569,-977.13989,-934.45636,-44.47023,0.995146
570,-875.33435,496.69055,39.105034,0.999721
571,-928.91565,-922.58868,-23.414236,1.000733
572,-1228.1747,-817.63348,-5.6629004,0.999872
573,-909.01465,461.59503,39.041691,0.999633
574,-874.63562,462.29431,41.103481,0.99963
